127.0.0.1 | 12/05/17 14:28:39 | i
192.168.224.157 | 12/05/17 14:29:20 | i
127.0.0.1 | 12/05/17 14:29:41 | e
127.0.0.1 | 12/05/17 14:30:33 | e
127.0.0.1 | 12/05/17 14:31:24 | e
127.0.0.1 | 12/05/17 14:45:29 | -127.0.0.1
127.0.0.1 | 12/05/17 14:45:45 | i
127.0.0.1 | 12/05/17 14:45:46 | -127.0.0.1
127.0.0.1 | 12/05/17 14:46:00 | e
127.0.0.1 | 12/05/17 14:46:02 | -127.0.0.1
127.0.0.1 | 12/05/17 14:46:32 | -127.0.0.1
127.0.0.1 | 12/05/17 14:46:39 | e
127.0.0.1 | 12/05/17 14:46:40 | -127.0.0.1
127.0.0.1 | 12/05/17 14:46:49 | i
127.0.0.1 | 12/05/17 14:46:52 | -127.0.0.1
